País,Capacidad_kW,Tilt_type,Energía_MWh,LCOE_$_kWh
CHL,100,lat,200.73,0.61
CHL,100,lat +10,194.08,0.64
CHL,100,lat +5,197.82,0.62
CHL,100,lat -10,204.18,0.6
CHL,100,lat -5,202.83,0.6
CHL,500,lat,1003.67,0.13
CHL,500,lat +10,970.38,0.14
CHL,500,lat +5,989.12,0.13
CHL,500,lat -10,1020.91,0.13
CHL,500,lat -5,1014.15,0.13
CHL,1000,lat,2007.35,0.07
CHL,1000,lat +10,1940.76,0.07
CHL,1000,lat +5,1978.23,0.07
CHL,1000,lat -10,2041.82,0.07
CHL,1000,lat -5,2028.3,0.07
CHL,5000,lat,10036.75,0.02
CHL,5000,lat +10,9703.82,0.02
CHL,5000,lat +5,9891.15,0.02
CHL,5000,lat -10,10209.09,0.02
CHL,5000,lat -5,10141.49,0.02
CHL,10000,lat,20073.5,0.02
CHL,10000,lat +10,19407.64,0.02
CHL,10000,lat +5,19782.31,0.02
CHL,10000,lat -10,20418.18,0.02
CHL,10000,lat -5,20282.97,0.02
CHN,100,lat,147.65,0.84
CHN,100,lat +10,142.2,0.88
CHN,100,lat +5,145.19,0.86
CHN,100,lat -10,150.72,0.82
CHN,100,lat -5,149.49,0.83
CHN,500,lat,738.24,0.18
CHN,500,lat +10,711.0,0.18
CHN,500,lat +5,725.97,0.18
CHN,500,lat -10,753.59,0.17
CHN,500,lat -5,747.47,0.17
CHN,1000,lat,1476.49,0.09
CHN,1000,lat +10,1422.0,0.1
CHN,1000,lat +5,1451.94,0.09
CHN,1000,lat -10,1507.17,0.09
CHN,1000,lat -5,1494.94,0.09
CHN,5000,lat,7382.44,0.03
CHN,5000,lat +10,7109.98,0.03
CHN,5000,lat +5,7259.71,0.03
CHN,5000,lat -10,7535.86,0.03
CHN,5000,lat -5,7474.69,0.03
CHN,10000,lat,14764.89,0.02
CHN,10000,lat +10,14219.97,0.02
CHN,10000,lat +5,14519.43,0.02
CHN,10000,lat -10,15071.72,0.02
CHN,10000,lat -5,14949.38,0.02
ESP,100,lat,147.26,0.83
ESP,100,lat +10,141.3,0.87
ESP,100,lat +5,144.55,0.85
ESP,100,lat -10,151.08,0.81
ESP,100,lat -5,149.45,0.82
ESP,500,lat,736.3,0.17
ESP,500,lat +10,706.52,0.18
ESP,500,lat +5,722.75,0.18
ESP,500,lat -10,755.4,0.17
ESP,500,lat -5,747.26,0.17
ESP,1000,lat,1472.59,0.09
ESP,1000,lat +10,1413.05,0.1
ESP,1000,lat +5,1445.51,0.09
ESP,1000,lat -10,1510.79,0.09
ESP,1000,lat -5,1494.53,0.09
ESP,5000,lat,7362.94,0.03
ESP,5000,lat +10,7065.22,0.03
ESP,5000,lat +5,7227.53,0.03
ESP,5000,lat -10,7553.95,0.03
ESP,5000,lat -5,7472.65,0.03
ESP,10000,lat,14725.88,0.02
ESP,10000,lat +10,14130.45,0.02
ESP,10000,lat +5,14455.06,0.02
ESP,10000,lat -10,15107.91,0.02
ESP,10000,lat -5,14945.3,0.02
